Fecha,LugarAccidente,Operador,OrigenDestino,TipoAeronave,TotalAbordo,TripulacionAbordo,PasajerosAbordo,TotalFallecidos,TripulacionFallecida,PasajerosFallecidos,FallecidosEnTierra,Longitud,Latitud
"September 17, 1908","Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,2,1,1,1,0,1,0,-77.0721925,38.8951368
"September 07, 1909","Juvisy-sur-Orge, France",Sin dato,Air show,Wright Byplane,1,1,0,1,0,0,0,2.373809,48.6904063
"July 12, 1912","Atlantic City, New Jersey",Military - U.S. Navy,Test flight,Dirigible,5,5,0,5,5,0,0,-74.4229351,39.3642852
"August 06, 1913","Victoria, British Columbia, Canada",Private,Sin dato,Curtiss seaplane,1,1,0,1,1,0,0,-123.3649533,48.4283182
"September 09, 1913",Over the North Sea,Military - German Navy,Sin dato,Zeppelin L-1 (airship),20,0,0,14,0,0,0,-123.3649533,48.4283182
"October 17, 1913"," Johannisthal, Germany",Military - German Navy,Sin dato,Zeppelin L-2 (airship),28,0,0,28,0,0,0,13.504547,52.4459114
"March 05, 1915","Tienen, Belgium",Military - German Navy,Sin dato,Zeppelin L-8 (airship),41,41,0,17,17,0,0,4.946429213429422,50.80843175
"September 03, 1915"," Cuxhaven, Germany",Military - German Navy,Sin dato,Zeppelin L-10 (airship),19,0,0,19,0,0,0,8.88407915140169,53.58724195
"July 28, 1916"," Jambol, Bulgaria",Military - German Army,Sin dato,Schutte-Lanz S-L-10 (airship),20,0,0,20,0,0,0,26.5105553,42.483935
"September 24, 1916","Billericay, England",Military - German Navy,Sin dato,Zeppelin L-32 (airship),22,0,0,22,0,0,0,0.4218142,51.6284395
"October 01, 1916","Potters Bar, England",Military - German Navy,Sin dato,Zeppelin L-31 (airship),19,19,0,19,19,0,0,-0.1848935,51.6958889
"November 21, 1916","Mainz, Germany",Military - German Army,Sin dato,Super Zeppelin (airship),28,0,0,27,0,0,0,8.2762513,50.0012314
"November 28, 1916"," West Hartlepool, England",Military - German Navy,Sin dato,Zeppelin L-34 (airship),20,0,0,20,0,0,0,-1.207832,54.6868261
"March 04, 1917"," Gent, Belgium",Military - German Army,Sin dato,Airship,20,0,0,20,0,0,0,3.7250121,51.0538286
"March 30, 1917", Northern Germany,Military - German Navy,Sin dato,Schutte-Lanz S-L-9 (airship),23,0,0,23,0,0,0,3.7250121,51.0538286
"May 14, 1917"," Texel Island, North Sea",Military - German Navy,Sin dato,Zeppelin L-22 (airship),21,0,0,21,0,0,0,2.8911717166880475,56.74123355
"June 14, 1917"," Vlieland Island, North Sea",Military - German Navy,Sin dato,Zeppelin L-43 (airship),24,0,0,24,0,0,0,2.8911717166880475,56.74123355
"June 17, 1917"," Yarmouth, England",Sin dato,Sin dato,Zepplin L-48 (air ship),16,0,0,14,0,0,0,1.7314845,52.6071742
"August 21, 1917", western Denmark,Military - German Navy,Sin dato,Zeppelin L-23 (airship),18,0,0,18,0,0,0,1.7314845,52.6071742
"October 20, 1917"," Luneville, France",Military - German Navy,Sin dato,Zeppelin L-44 (airship),18,0,0,18,0,0,0,6.4919563,48.5916164
"April 07, 1918",Over the Mediterranean,Military - German Navy,Sin dato,Zeppelin L-59 (airship),23,0,0,23,0,0,0,6.4919563,48.5916164
"August 05, 1918"," Helgoland Island, Germany",Military - German Navy,Sin dato,Zeppelin L-70 (airship),22,0,0,22,0,0,0,7.885362101180695,54.18004525
"August 11, 1918","Ameland Island, North Sea",Military - German Navy,Sin dato,Zeppelin L-53 (airship),19,0,0,19,0,0,0,2.8911717166880475,56.74123355
"December 16, 1918","Elizabeth, New Jersey",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-74.2107006,40.6639916
"May 25, 1919","Cleveland, Ohio",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-81.6936772,41.4996574
"July 19, 1919","Dix Run, Pennsylvania",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-77.938042,40.907199
"July 21, 1919","Chicago, Illinois",Wingfoot Air Express Goodyear Tire,Shuttle,FD Type Dirigible,0,0,0,3,1,2,10,-87.6244212,41.8755616
"August 02, 1919","Verona, Italy",Caproni Company,Venice  Taliedo,Caproni Ca.48,14,2,12,14,2,12,0,10.9924122,45.4384958
"October 02, 1919","Newcastle, England",Aircraft Transport and Travel,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-1.6131572,54.9738474
"October 14, 1919","Cantonsville, Maryland",US Aerial Mail Service,Sin dato,Curtiss R-4LM,1,1,0,1,1,0,0,-76.9382069,39.5162401
"October 20, 1919","English Channel  Forkstone, Kent",Aircraft Transport and Travel,Sin dato,De Havilland DH-4,0,1,0,0,0,0,0,0.7210361813401444,51.20707485
"October 30, 1919","Long Valley, New Jersey",US Aerial Mail Service,Sin dato,De Havilland DH.4,1,1,0,1,1,0,0,-74.75923279813415,40.78168135
"December 11, 1919","Catherham, Surrey, UK",Aircraft Travel Transport,Paris - Hounslow,de Havilland DH-4,1,1,1,1,1,1,0,-3.2765753,54.7023545
"March 10, 1920","New Paris, Indiana",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-85.82410851437608,41.504546500000004
"March 30, 1920","Newark, New Jersey",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,1,1,0,1,1,0,0,-74.1723667,40.735657
"April 10, 1920","Newark, New Jersey",US Aerial Mail Service,Sin dato,Curtiss R-4LM,2,1,1,1,1,0,0,-74.1723667,40.735657
"April 11, 1920","Heller Field, New Jersey",US Aerial Mail Service,Sin dato,Curtiss JN-4H,2,1,1,1,1,0,0,-74.6611513311839,40.9354609
"May 12, 1920","Oskaloosa, Iowa",US Aerial Mail Service,Sin dato,De Havilland DH-4,2,1,1,1,0,1,0,-92.6448451,41.2951037
"June 06, 1920","Cleveland, Ohio",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-81.6936772,41.4996574
"July 20, 1920","Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Sin dato,Farman F-40,1,1,1,1,1,1,0,-75.5271224,10.4195841
"August 16, 1920","Bedford, England",By Air,Sin dato,Armstrong-Whitworth F-K-8,1,1,0,1,1,0,0,-0.4675041,52.1363806
"August 16, 1920","College Park, Maryland",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-76.9438585924238,38.990412449999994
"September 01, 1920","Morristown, New Jersey",US Aerial Mail Service,Sin dato,Junkers JL-6,2,2,0,2,2,0,0,-74.47743585359405,40.7992398
"September 15, 1920","Pemberville, Ohio",US Aerial Mail Service,Sin dato,Junkers F-13,2,0,0,2,0,0,0,-83.46104,41.4108855
"September 27, 1920","Hillersburg, Pennsylvania",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-77.7278831,40.9699889
"October 02, 1920"," Port Vendres, France",Latecoere Airlines,Sin dato,Salmson 2-A-2,2,1,1,2,1,1,0,3.1056167,42.5204146
"October 05, 1920","Valencia, Spain",Latecoere Airlines,Sin dato,Breguet 14,2,1,1,2,1,1,0,-0.3763353,39.4697065
"October 15, 1920","Batavia, Illinois",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-88.3125738,41.8500284
"November 07, 1920","Tie Siding, Wyoming",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-105.5091717,41.0812698
"December 14, 1920","London, England",Handley Page Transport,London - Paris,Handley Page HP-16,8,2,6,4,2,2,0,-0.1276474,51.5073219
"December 24, 1920","Barcelona, Spain",Aeropostale,Sin dato,Breguet 14,1,1,0,1,1,0,0,2.1774322,41.3828939
"February 03, 1921","Mendotta, Minnisota",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,0.0,0.0
"February 09, 1921","La Crosse, Wisconsin",US Aerial Mail Service,Sin dato,Junkers F-13,3,3,0,3,3,0,0,-91.2514355,43.8122836
"February 15, 1921", Gibraltar,Aeropostale,Sin dato,Breguet 14,2,2,0,2,2,0,0,-91.2514355,43.8122836
"February 22, 1921","Elko, Nevada",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-115.3272864,41.1958128
"April 06, 1921","Point Cook, Australia",Military - Royal Australian Air Force,Sin dato,Avro 504,2,0,0,2,0,0,0,144.7533059,-37.9064862
"April 21, 1921","Mitchel Field, NY",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-73.5944933,40.734982
"April 29, 1921","Cleveland, Ohio",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-81.6936772,41.4996574
"May 17, 1921","Rock Springs, Wyoming",US Aerial Mail Service,Sin dato,"De Havilland DH-4De Havilland DH-4",1,1,0,1,1,0,0,-109.2194544,41.5860557
"August 14, 1921","Toulouse, France",Aeropostale,Sin dato,Breguet 14,2,0,0,2,0,0,0,1.4442469,43.6044622
"August 24, 1921","River Humber, England",Military - Royal Airship Works,Sin dato,Royal Airship Works ZR-2 (airship),49,49,0,43,43,0,1,-0.1971576,53.6542257
"September 06, 1921","Paris, France",Franco-Roumaine,Warsaw - Prague - Strasbourg - Paris,Potez IX,5,1,4,5,1,4,0,2.3200410217200766,48.8588897
"December 05, 1921"," Murchinson River, Australia",West Australian Airways,Geraldton - Derby,Bristol 28 Tourer,2,2,0,2,2,0,0,134.755,-24.7761086
"January 14, 1922","Paris, France",Handley Page Transport,Sin dato,Handley Page O/10,5,1,4,5,1,4,5,2.3200410217200766,48.8588897
"February 21, 1922"," Norfolk, Virginia",Military - U.S. Army Air Service,Sin dato,Dirigible Roma (airship),45,0,0,34,0,0,0,-76.2602336,36.8968052
"March 22, 1922",North Atlantic Ocean,Aero Limited,Miami - Bimini,Aeromarine Model 85 (flying boat),6,1,5,5,0,5,0,-76.2602336,36.8968052
"April 07, 1922","Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,7,2,5,7,2,5,0,1.9428278,49.6647765
"April 08, 1922","Pao Ting Fou, China",Sin dato,Test,Sin dato,17,17,0,17,17,0,0,115.0379398,39.2040971
"June 03, 1922"," Folkestone, Kent, England",Cie des Messageries Aeriennes,Croydon - Paris,Bleriot Spad 27,3,1,2,3,1,2,0,1.1794073,51.0791335
"July 04, 1922","Fuhlsbuttel, Germany",Sin dato,Hamburg - Berlin,LVG C VI,3,1,2,2,1,1,0,10.0233695,53.6323399
"July 16, 1922"," Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Strasbourg - Paris,Potez 29,5,1,4,5,1,4,0,7.3625953,48.7419909
"July 26, 1922","Cadix, Spain",Grands Express Aeriens,Sin dato,Breguet 14,3,1,2,3,1,2,0,-6.2928976,36.5297438
"September 07, 1922","Indianapolis, Indiana",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-86.1583502,39.7683331
"October 02, 1922","Venice, Italy",de Havilland Air Service,Venice - London,de Havilland DH-9,4,1,3,4,1,3,0,15.4262978,47.0541982
"October 25, 1922","Larache, Morocco",Grands Express Aeriens,Sin dato,Breguet 14,2,1,1,2,1,1,0,-6.152913,35.1952327
"December 03, 1922","Fez, Morocco",Grands Express Aeriens,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,1,1,0,1,1,0,0,-5.0161926,34.0346534
"January 10, 1923","Ajaccio, France",Amee de l'Air,Sin dato,Lioré-et-Olivier H-13,4,2,2,3,2,1,0,8.7376029,41.9263991
"January 17, 1923","Barcelona, Spain",Grands Express Aeriens,Sin dato,Breguet 14,1,1,0,1,1,0,0,2.1774322,41.3828939
"January 18, 1923","Cheyenne, Wyoming",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-121.336657,38.040803
"February 26, 1923","Meadville, Pennsylvania",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-80.151449,41.641445
"May 14, 1923"," Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,6,2,4,6,2,4,0,1.8883335,46.603354
"August 27, 1923","East Mallling, United Kingdom",Air Union,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,11,2,9,1,0,1,0,-3.2765753,54.7023545
"August 27, 1923","Bucharest, Romania",Campagnie France Roumaine,Sin dato,Blériot Spad 46,2,1,1,2,1,1,0,26.1027202,44.4361414
"September 07, 1923","Colton, Ohio",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-83.9524442,41.4647742
"September 14, 1923"," Ivinghoe, Buckinghamshire, England",Daimler Airways,Croydon - Manchester,de Havilland DH-34,5,2,3,5,2,3,0,-0.6298887,51.8364034
"November 18, 1923",Russia,CCCP,Sin dato,Junkers F-13,5,3,2,3,2,1,0,-0.6298887,51.8364034
"December 06, 1923","Castalia, Ohio",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-82.8085204,41.4000523
"December 23, 1923",Over the Mediterranean Sea,Military - French Navy,Toulon - Algiers,Zeppelin Dixmunde (airship),52,0,0,52,0,0,0,-82.8085204,41.4000523
"December 24, 1923","Egbert, WY",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-104.2552567,41.1710716
"March 07, 1924","Grampian, Pennsylvania",US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,0,1,1,0,0,-78.6130822,40.9658932
"April 24, 1924",Over the English Channel,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,3,1,2,3,1,2,0,-78.6130822,40.9658932
