Fecha,LugarAccidente,Operador,OrigenDestino,TipoAeronave,TotalAbordo,TripulacionAbordo,PasajerosAbordo,TotalFallecidos,TripulacionFallecida,PasajerosFallecidos,FallecidosEnTierra,Longitud,Latitud
1908-09-17 00:00:00,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,2,1,1,1,0,1,0,-77.0721925,38.8951368
1909-09-07 00:00:00,"Juvisy-sur-Orge, France",Sin dato,Air show,Wright Byplane,1,1,0,1,0,0,0,2.373809,48.6904063
1912-07-12 00:00:00,"Atlantic City, New Jersey",Military - U.S. Navy,Test flight,Dirigible,5,5,0,5,5,0,0,-74.4229351,39.3642852
1913-08-06 00:00:00,"Victoria, British Columbia, Canada",Private,Sin dato,Curtiss seaplane,1,1,0,1,1,0,0,-123.3649533,48.4283182
1913-09-09 00:00:00,Over the North Sea,Military - German Navy,Sin dato,Zeppelin L-1 (airship),20,0,0,14,0,0,0,-123.3649533,48.4283182
1913-10-17 00:00:00," Johannisthal, Germany",Military - German Navy,Sin dato,Zeppelin L-2 (airship),28,0,0,28,0,0,0,13.504547,52.4459114
1915-03-05 00:00:00,"Tienen, Belgium",Military - German Navy,Sin dato,Zeppelin L-8 (airship),41,41,0,17,17,0,0,4.946429213429422,50.80843175
1915-09-03 00:00:00," Cuxhaven, Germany",Military - German Navy,Sin dato,Zeppelin L-10 (airship),19,0,0,19,0,0,0,8.88407915140169,53.58724195
1916-07-28 00:00:00," Jambol, Bulgaria",Military - German Army,Sin dato,Schutte-Lanz S-L-10 (airship),20,0,0,20,0,0,0,26.5105553,42.483935
1916-09-24 00:00:00,"Billericay, England",Military - German Navy,Sin dato,Zeppelin L-32 (airship),22,0,0,22,0,0,0,0.4218142,51.6284395
1916-10-01 00:00:00,"Potters Bar, England",Military - German Navy,Sin dato,Zeppelin L-31 (airship),19,19,0,19,19,0,0,-0.1848935,51.6958889
1916-11-21 00:00:00,"Mainz, Germany",Military - German Army,Sin dato,Super Zeppelin (airship),28,0,0,27,0,0,0,8.2762513,50.0012314
